"key","values"
"TR_Preset",23070
"TR_Resolution",20659
"TR_Bitrate",19659
"TR_Codec",16073
"VM_Type",7411
"TR_Nb_frame",7165
"Sum_DHOG_225",3276
"TR_Height",2363
"TR_Framerate",1990
"Size_kb",1816
"Sum_DHOG_270",1531
"TR_Width",1347
"Resolution",1237
"Sum_DHOG_315",1017
"Bitrate",855
"Sum_DHOG_360",689
"Sum_HOG_225",677
"Nb_frame",675
"Mean_TI",644
"Std_SI",637
"Sum_HOG_180",619
"Mean_lengthMV",596
"Mean_NCC",599
"Sum_HOF_180",598
"Max_TI",587
"Min_SI",585
"Min_TI",565
"Nb_Microblock",528
"Sum_HOF_45",520
"Sum_HOF_90",517
"dyMean",485
"Std_TI",477
"Max_lengthMV",471
"Std_lengthMV",467
"Sum_HOG_0",467
"Sum_HOG_135",464
"Std_Microblock",462
"Sum_HOF_225",455
"Sum_HOF_270",454
"Std_NCC",450
"Duration",444
"Sum_HOG_360",443
"Std_CF",438
"Sum_HOF_360",438
"dxMax",430
"dxMean",415
"Min_NCC",413
"Min_CF",413
"Sum_HOG_270",410
"distMax",409
"Sum_HOG_90",403
"Sum_HOG_45",400
"Max_SI",399
"Std_NE",380
"Mean_NE",378
"dxStd",367
"Sum_HOG_315",363
"Min_NE",359
"Sum_HOF_315",358
"Max_CF",358
"Sum_HOF_135",348
"distMean",335
"Mean_HOF_225",333
"Max_HOG_45",307
"Max_HOG_270",306
"Max_HOG_360",300
"Max_HOG_135",299
"Max_NE",298
"Mean_HOF_180",287
"dyStd",286
"Mean_HOF_270",285
"Mean_HOG_360",280
"Mean_CF",277
"Mean_HOG_315",274
"Max_HOG_0",269
"Mean_HOG_225",268
"Mean_HOF_45",268
"Mean_HOG_45",265
"Mean_HOG_0",264
"Mean_HOG_180",262
"Max_HOG_90",261
"Std_correlation_0",258
"Mean_HOF_360",257
"Mean_HOF_90",254
"Max_DHOG_315",245
"Mean_HOF_135",240
"Mean_HOG_270",232
"Max_HOG_225",231
"Mean_HOG_90",228
"Mean_DHOG_0",222
"Max_HOG_315",222
"Mean_DHOG_135",222
"Max_DHOG_0",221
"Std_correlation_90",219
"Max_DHOG_225",218
"Max_Microblock",218
"Mean_DHOG_45",216
"Mean_SI",215
"Std_energy_0",214
"Mean_DHOG_90",213
"Min_energy_0",206
"Std_contrast_0",206
"distStd",202
"Max_DHOG_45",202
"Min_Microblock",201
"dyMax",198
"Max_DHOG_360",198
"Max_energy_0",198
"Max_DHOG_90",194
"Min_correlation_0",194
"Mean_HOF_315",190
"Max_DHOG_135",186
"Mean_HOG_135",184
"Sum_DHOG_45",178
"Max_DHOG_270",177
"Std_contrast_90",176
"Max_DHOG_180",175
"Mean_DHOG_180",171
"Max_correlation_0",169
"Max_HOG_180",163
"Sum_DHOG_0",163
"Sum_DHOG_135",163
"Sum_DHOG_180",162
"Std_contrast_45",158
"Mean_Microblock",150
"Mean_correlation_0",145
"Sum_DHOG_90",144
"Min_correlation_45",141
"Std_correlation_135",141
"Max_contrast_0",139
"Framerate",138
"Std_dissimilarity_0",136
"Mean_DHOG_270",136
"Max_correlation_90",135
"Std_correlation_45",134
"Min_correlation_90",132
"Min_contrast_0",123
"Mean_energy_0",121
"Max_correlation_45",120
"Mean_DHOG_315",117
"Max_contrast_90",116
"Min_contrast_90",102
"Std_contrast_135",97
"Std_energy_90",95
"Mean_contrast_0",94
"Std_dissimilarity_90",90
"Std_homogeneity_45",88
"Std_homogeneity_90",88
"Mean_correlation_45",86
"Mean_correlation_90",86
"Mean_DHOG_360",85
"Std_dissimilarity_45",84
"Mean_DHOG_225",84
"Min_energy_45",83
"Mean_contrast_90",83
"Min_contrast_45",81
"Min_dissimilarity_0",77
"Max_dissimilarity_0",76
"Std_dissimilarity_135",76
"Std_homogeneity_0",76
"Min_homogeneity_0",75
"Std_energy_45",75
"Max_contrast_45",70
"Max_energy_45",68
"Mean_homogeneity_0",68
"Max_correlation_135",66
"Min_correlation_135",66
"Mean_correlation_135",63
"Max_dissimilarity_90",62
"Mean_dissimilarity_0",61
"Mean_energy_90",60
"Std_homogeneity_135",60
"Mean_energy_45",59
"Min_homogeneity_90",57
"Max_dissimilarity_45",55
"Max_contrast_135",55
"Min_energy_90",55
"Max_homogeneity_0",54
"Mean_dissimilarity_90",52
"Std_energy_135",49
"Mean_homogeneity_135",48
"Min_dissimilarity_45",47
"Mean_contrast_45",46
"Min_homogeneity_45",45
"Mean_dissimilarity_135",45
"Min_contrast_135",44
"Max_energy_90",44
"Min_dissimilarity_90",44
"Mean_contrast_135",42
"Max_homogeneity_45",40
"Max_homogeneity_90",40
"Mean_dissimilarity_45",37
"Min_energy_135",37
"Min_dissimilarity_135",37
"Mean_homogeneity_90",35
"Max_homogeneity_135",33
"Mean_energy_135",33
"Mean_homogeneity_45",30
"Max_energy_135",27
"Max_dissimilarity_135",25
"Min_homogeneity_135",22
"Codec",1
"Height",0
"Width",0
"Pixel_format",0
"Max_NCC",0
"TR_Bitrate",0
